date,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths
03-01-2020,US,United States of America,AMRO,0,0,0
04-01-2020,US,United States of America,AMRO,0,0,0
05-01-2020,US,United States of America,AMRO,0,0,0
06-01-2020,US,United States of America,AMRO,0,0,0
07-01-2020,US,United States of America,AMRO,0,0,0
08-01-2020,US,United States of America,AMRO,0,0,0
09-01-2020,US,United States of America,AMRO,0,0,0
10-01-2020,US,United States of America,AMRO,0,0,0
11-01-2020,US,United States of America,AMRO,0,0,0
12-01-2020,US,United States of America,AMRO,0,0,0
13-01-2020,US,United States of America,AMRO,0,0,0
14-01-2020,US,United States of America,AMRO,0,0,0
15-01-2020,US,United States of America,AMRO,0,0,0
16-01-2020,US,United States of America,AMRO,0,0,0
17-01-2020,US,United States of America,AMRO,0,0,0
18-01-2020,US,United States of America,AMRO,0,0,0
19-01-2020,US,United States of America,AMRO,0,0,0
20-01-2020,US,United States of America,AMRO,5,5,0
21-01-2020,US,United States of America,AMRO,0,5,0
22-01-2020,US,United States of America,AMRO,0,5,0
23-01-2020,US,United States of America,AMRO,0,5,0
24-01-2020,US,United States of America,AMRO,31,36,0
25-01-2020,US,United States of America,AMRO,1,37,0
26-01-2020,US,United States of America,AMRO,1,38,0
27-01-2020,US,United States of America,AMRO,3,41,0
28-01-2020,US,United States of America,AMRO,3,44,0
29-01-2020,US,United States of America,AMRO,1,45,0
30-01-2020,US,United States of America,AMRO,1,46,0
31-01-2020,US,United States of America,AMRO,1,47,0
01-02-2020,US,United States of America,AMRO,2,49,0
02-02-2020,US,United States of America,AMRO,4,53,0
03-02-2020,US,United States of America,AMRO,3,56,0
04-02-2020,US,United States of America,AMRO,1,57,0
05-02-2020,US,United States of America,AMRO,7,64,0
06-02-2020,US,United States of America,AMRO,1,65,0
07-02-2020,US,United States of America,AMRO,1,66,0
08-02-2020,US,United States of America,AMRO,0,66,0
09-02-2020,US,United States of America,AMRO,1,67,0
10-02-2020,US,United States of America,AMRO,1,68,0
11-02-2020,US,United States of America,AMRO,2,70,0
12-02-2020,US,United States of America,AMRO,1,71,0
13-02-2020,US,United States of America,AMRO,2,73,0
14-02-2020,US,United States of America,AMRO,1,74,0
15-02-2020,US,United States of America,AMRO,2,76,0
16-02-2020,US,United States of America,AMRO,3,79,0
17-02-2020,US,United States of America,AMRO,2,81,0
18-02-2020,US,United States of America,AMRO,0,81,0
19-02-2020,US,United States of America,AMRO,6,87,0
20-02-2020,US,United States of America,AMRO,0,87,0
21-02-2020,US,United States of America,AMRO,1,88,0
22-02-2020,US,United States of America,AMRO,2,90,0
23-02-2020,US,United States of America,AMRO,9,99,0
24-02-2020,US,United States of America,AMRO,2,101,0
25-02-2020,US,United States of America,AMRO,1,102,0
26-02-2020,US,United States of America,AMRO,4,106,0
27-02-2020,US,United States of America,AMRO,5,111,0
28-02-2020,US,United States of America,AMRO,4,115,0
29-02-2020,US,United States of America,AMRO,11,126,1
01-03-2020,US,United States of America,AMRO,8,134,0
02-03-2020,US,United States of America,AMRO,19,153,1
03-03-2020,US,United States of America,AMRO,24,177,0
04-03-2020,US,United States of America,AMRO,41,218,5
05-03-2020,US,United States of America,AMRO,38,256,3
06-03-2020,US,United States of America,AMRO,44,300,1
07-03-2020,US,United States of America,AMRO,81,381,2
08-03-2020,US,United States of America,AMRO,78,459,2
09-03-2020,US,United States of America,AMRO,98,557,5
10-03-2020,US,United States of America,AMRO,191,748,4
11-03-2020,US,United States of America,AMRO,301,1049,7
12-03-2020,US,United States of America,AMRO,374,1423,5
13-03-2020,US,United States of America,AMRO,368,1791,12
14-03-2020,US,United States of America,AMRO,532,2323,7
15-03-2020,US,United States of America,AMRO,443,2766,8
16-03-2020,US,United States of America,AMRO,536,3302,12
17-03-2020,US,United States of America,AMRO,1381,4683,23
18-03-2020,US,United States of America,AMRO,1055,5738,18
19-03-2020,US,United States of America,AMRO,3108,8846,31
20-03-2020,US,United States of America,AMRO,3765,12611,67
21-03-2020,US,United States of America,AMRO,5045,17656,57
22-03-2020,US,United States of America,AMRO,3743,21399,70
23-03-2020,US,United States of America,AMRO,6037,27436,83
24-03-2020,US,United States of America,AMRO,9032,36468,81
25-03-2020,US,United States of America,AMRO,11224,47692,151
26-03-2020,US,United States of America,AMRO,10786,58478,206
27-03-2020,US,United States of America,AMRO,14073,72551,275
28-03-2020,US,United States of America,AMRO,17135,89686,267
29-03-2020,US,United States of America,AMRO,18547,108233,450
30-03-2020,US,United States of America,AMRO,19444,127677,459
31-03-2020,US,United States of America,AMRO,18136,145813,331
01-04-2020,US,United States of America,AMRO,22395,168208,511
02-04-2020,US,United States of America,AMRO,22834,191042,752
03-04-2020,US,United States of America,AMRO,27357,218399,912
04-04-2020,US,United States of America,AMRO,25982,244381,970
05-04-2020,US,United States of America,AMRO,35131,279512,1067
06-04-2020,US,United States of America,AMRO,30593,310105,1157
07-04-2020,US,United States of America,AMRO,25511,335616,1364
08-04-2020,US,United States of America,AMRO,42604,378220,3243
09-04-2020,US,United States of America,AMRO,21975,400195,674
10-04-2020,US,United States of America,AMRO,31714,431909,1958
11-04-2020,US,United States of America,AMRO,31215,463124,2343
12-04-2020,US,United States of America,AMRO,34595,497719,1640
13-04-2020,US,United States of America,AMRO,32364,530083,1971
14-04-2020,US,United States of America,AMRO,27973,558056,1380
15-04-2020,US,United States of America,AMRO,24540,582596,597
16-04-2020,US,United States of America,AMRO,25794,608390,2356
17-04-2020,US,United States of America,AMRO,27172,635562,6508
18-04-2020,US,United States of America,AMRO,29015,664577,2011
19-04-2020,US,United States of America,AMRO,29978,694555,2451
20-04-2020,US,United States of America,AMRO,29759,724314,1794
21-04-2020,US,United States of America,AMRO,24371,748685,1878
22-04-2020,US,United States of America,AMRO,29479,778164,2807
23-04-2020,US,United States of America,AMRO,26339,804503,2820
24-04-2020,US,United States of America,AMRO,26644,831147,1771
25-04-2020,US,United States of America,AMRO,37063,868210,2489
26-04-2020,US,United States of America,AMRO,30408,898618,1652
27-04-2020,US,United States of America,AMRO,33630,932248,2017
28-04-2020,US,United States of America,AMRO,27787,960035,1460
29-04-2020,US,United States of America,AMRO,24270,984305,1423
30-04-2020,US,United States of America,AMRO,24095,1008400,2253
01-05-2020,US,United States of America,AMRO,26299,1034699,2474
02-05-2020,US,United States of America,AMRO,31184,1065883,2264
03-05-2020,US,United States of America,AMRO,30169,1096052,1939
04-05-2020,US,United States of America,AMRO,28743,1124795,1494
05-05-2020,US,United States of America,AMRO,29161,1153956,1728
06-05-2020,US,United States of America,AMRO,19069,1173025,976
07-05-2020,US,United States of America,AMRO,22690,1195715,2455
08-05-2020,US,United States of America,AMRO,23593,1219308,2310
09-05-2020,US,United States of America,AMRO,30297,1249605,2277
10-05-2020,US,United States of America,AMRO,25214,1274819,1620
11-05-2020,US,United States of America,AMRO,26914,1301733,1626
12-05-2020,US,United States of America,AMRO,23871,1325604,980
13-05-2020,US,United States of America,AMRO,18080,1343684,1076
