Id,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
1,03-01-2020,IN,India,SEARO,0,0,0,0
2,04-01-2020,IN,India,SEARO,0,0,0,0
3,05-01-2020,IN,India,SEARO,0,0,0,0
4,06-01-2020,IN,India,SEARO,0,0,0,0
5,07-01-2020,IN,India,SEARO,0,0,0,0
6,08-01-2020,IN,India,SEARO,0,0,0,0
7,09-01-2020,IN,India,SEARO,0,0,0,0
8,10-01-2020,IN,India,SEARO,0,0,0,0
9,11-01-2020,IN,India,SEARO,0,0,0,0
10,12-01-2020,IN,India,SEARO,0,0,0,0
11,13-01-2020,IN,India,SEARO,0,0,0,0
12,14-01-2020,IN,India,SEARO,0,0,0,0
13,15-01-2020,IN,India,SEARO,0,0,0,0
14,16-01-2020,IN,India,SEARO,0,0,0,0
15,17-01-2020,IN,India,SEARO,0,0,0,0
16,18-01-2020,IN,India,SEARO,0,0,0,0
17,19-01-2020,IN,India,SEARO,0,0,0,0
18,20-01-2020,IN,India,SEARO,0,0,0,0
19,21-01-2020,IN,India,SEARO,0,0,0,0
20,22-01-2020,IN,India,SEARO,0,0,0,0
21,23-01-2020,IN,India,SEARO,0,0,0,0
22,24-01-2020,IN,India,SEARO,0,0,0,0
23,25-01-2020,IN,India,SEARO,0,0,0,0
24,26-01-2020,IN,India,SEARO,0,0,0,0
25,27-01-2020,IN,India,SEARO,0,0,0,0
26,28-01-2020,IN,India,SEARO,0,0,0,0
27,29-01-2020,IN,India,SEARO,0,0,0,0
28,30-01-2020,IN,India,SEARO,1,1,0,0
29,31-01-2020,IN,India,SEARO,4,5,0,0
30,01-02-2020,IN,India,SEARO,0,5,0,0
31,02-02-2020,IN,India,SEARO,-3,2,0,0
32,03-02-2020,IN,India,SEARO,1,3,0,0
33,04-02-2020,IN,India,SEARO,4,7,0,0
34,05-02-2020,IN,India,SEARO,0,7,0,0
35,06-02-2020,IN,India,SEARO,0,7,0,0
36,07-02-2020,IN,India,SEARO,0,7,0,0
37,08-02-2020,IN,India,SEARO,0,7,0,0
38,09-02-2020,IN,India,SEARO,0,7,0,0
39,10-02-2020,IN,India,SEARO,0,7,0,0
40,11-02-2020,IN,India,SEARO,0,7,0,0
41,12-02-2020,IN,India,SEARO,0,7,0,0
42,13-02-2020,IN,India,SEARO,0,7,0,0
43,14-02-2020,IN,India,SEARO,0,7,0,0
44,15-02-2020,IN,India,SEARO,0,7,0,0
45,16-02-2020,IN,India,SEARO,0,7,0,0
46,17-02-2020,IN,India,SEARO,0,7,0,0
47,18-02-2020,IN,India,SEARO,0,7,0,0
48,19-02-2020,IN,India,SEARO,0,7,0,0
49,20-02-2020,IN,India,SEARO,0,7,0,0
50,21-02-2020,IN,India,SEARO,0,7,0,0
51,22-02-2020,IN,India,SEARO,0,7,0,0
52,23-02-2020,IN,India,SEARO,0,7,0,0
53,24-02-2020,IN,India,SEARO,0,7,0,0
54,25-02-2020,IN,India,SEARO,0,7,0,0
55,26-02-2020,IN,India,SEARO,0,7,0,0
56,27-02-2020,IN,India,SEARO,0,7,0,0
57,28-02-2020,IN,India,SEARO,0,7,0,0
58,29-02-2020,IN,India,SEARO,0,7,0,0
59,01-03-2020,IN,India,SEARO,0,7,0,0
60,02-03-2020,IN,India,SEARO,-2,5,0,0
61,03-03-2020,IN,India,SEARO,4,9,0,0
62,04-03-2020,IN,India,SEARO,19,28,0,0
63,05-03-2020,IN,India,SEARO,1,29,0,0
64,06-03-2020,IN,India,SEARO,2,31,0,0
65,07-03-2020,IN,India,SEARO,3,34,0,0
66,08-03-2020,IN,India,SEARO,5,39,0,0
67,09-03-2020,IN,India,SEARO,5,44,0,0
68,10-03-2020,IN,India,SEARO,6,50,0,0
69,11-03-2020,IN,India,SEARO,10,60,0,0
70,12-03-2020,IN,India,SEARO,13,73,0,0
71,13-03-2020,IN,India,SEARO,8,81,1,1
72,14-03-2020,IN,India,SEARO,3,84,1,2
73,15-03-2020,IN,India,SEARO,23,107,0,2
